,acc,loss,optimizer,train_acc_0,train_acc_1,val_acc_2,dropout,val_acc_0,batch_size,val_loss,activation,val_acc,max_epochs,train_acc_2,hidden,val_acc_1
140,0.730248932,0.182261408,adam,71.88966251,73.18955729,68.16255479,TRUE,66.20006055,64,0.210801078,relu,0.673620806,100,73.99545969,"[58, 58]",67.72362652
141,0.731321005,0.181611918,adam,72.12426216,73.32954977,68.20796123,TRUE,65.92009677,512,0.210946995,relu,0.672662368,100,73.94248958,"[58, 58]",67.6706524
142,0.734373194,0.181410567,adam,72.52913577,73.62466892,68.6468897,FALSE,65.43583535,64,0.211333059,relu,0.671830162,100,74.15815363,"[58, 58]",67.46632353
400,0.728685008,0.183400511,rmsprop,71.71560467,72.87930385,68.05660668,TRUE,65.66283294,64,0.211496959,relu,0.67175437,100,74.01059402,"[58, 32]",67.80687149
144,0.730854324,0.182463031,adam,71.96912362,73.21225879,68.19282584,TRUE,66.13952779,64,0.21154096,relu,0.671703678,100,74.07491489,"[58, 32]",67.17874974
145,0.732153351,0.182047772,adam,71.96155591,73.69655695,68.1776903,TRUE,65.91253031,512,0.21216605,relu,0.671678567,100,73.98789257,"[58, 32]",67.41334955
151,0.73153535,0.181985464,adam,71.89723022,73.45819141,68.17012264,FALSE,66.43462478,512,0.211323187,relu,0.671627852,100,74.1051835,"[58, 16]",66.88360829
150,0.731686744,0.182230375,adam,72.09777506,73.35225124,67.90525194,FALSE,65.85956412,64,0.211032777,relu,0.671527239,100,74.05599697,"[58, 16]",67.69335559
159,0.709400984,0.192438278,adam,70.20205842,71.15399169,67.95065845,FALSE,66.37409202,512,0.211053742,relu,0.671274722,100,71.46424517,"[32, 16]",67.05766612
402,0.726679692,0.184044412,rmsprop,71.63992736,72.8225501,68.04903887,FALSE,65.72336562,64,0.21111002,relu,0.671174147,100,73.54143018,"[58, 32]",67.57983954
397,0.727991395,0.183740344,rmsprop,71.8858786,72.87173663,68.09444528,TRUE,66.29085954,512,0.211831354,relu,0.671123409,100,73.63980326,"[58, 58]",66.95171783
399,0.727978772,0.18375538,rmsprop,71.84047222,72.70904279,68.12471613,FALSE,65.82173125,512,0.210430713,relu,0.67109842,100,73.8441165,"[58, 58]",67.38307857
143,0.73133357,0.182016112,adam,71.9388527,73.27279604,68.35174805,FALSE,65.44340195,512,0.211105888,relu,0.670997708,100,74.18842222,"[58, 58]",67.50416225
12,0.720739351,0.542990632,adam,71.15937641,72.45932649,67.9733615,TRUE,66.29085955,64,0.614870324,relu,0.670896377,100,72.60310253,"[58, 58]",67.00469206
129,0.731510266,0.182243575,adam,72.44967462,72.90957243,67.85984565,TRUE,65.81416468,512,0.21129266,relu,0.670871392,100,74.09383275,[58],67.58740736
3,0.719705239,0.542495344,adam,71.42046314,71.82746877,67.83714239,FALSE,66.23789338,512,0.611844106,relu,0.670845952,100,72.66363981,[58],67.17874973
164,0.786272288,0.155865524,adam,76.48705915,79.00491863,70.25881649,TRUE,63.65768758,64,0.219756772,relu,0.670796803,100,80.38970868,"[58, 58, 32]",67.32253679
163,0.692815909,0.199384916,adam,68.66959288,69.26220205,67.01225978,FALSE,66.88861991,512,0.210152878,relu,0.670568141,100,69.91297768,"[16, 16]",67.26956258
149,0.730854367,0.182265654,adam,72.13939758,73.15172156,68.20796131,TRUE,65.67039946,512,0.211370615,relu,0.670543529,100,73.96519107,"[58, 16]",67.28469799
22,0.71967993,0.543850948,adam,71.07991526,72.21339388,67.74632958,FALSE,66.0638619,64,0.610447097,relu,0.670543331,100,72.61066971,"[58, 16]",67.35280769
1,0.721660055,0.541212438,adam,71.28802788,72.57661748,67.90525194,TRUE,66.13196135,512,0.612852143,relu,0.670543297,100,72.63337117,[58],67.12577575
14,0.720159198,0.542349893,adam,71.14045706,72.01664771,67.97336163,FALSE,65.85199749,64,0.611301912,relu,0.670392083,100,72.89065456,"[58, 58]",67.29226573
274,0.7184439,0.546147957,rmsprop,70.84153168,72.18690884,67.68578773,FALSE,65.99576264,64,0.613634097,relu,0.670366784,100,72.50472947,"[58, 32]",67.42848495
